date,labour
1998 JAN,880.4
1998 FEB,884.1
1998 MAR,885.9
1998 APR,885.1
1998 MAY,884.1
1998 JUN,884.6
1998 JUL,885.4
1998 AUG,887.6
1998 SEP,888.2
1998 OCT,888.5
1998 NOV,883.2
1998 DEC,887.2
1999 JAN,888.0
1999 FEB,888.3
1999 MAR,886.2
1999 APR,887.3
1999 MAY,890.6
1999 JUN,892.3
1999 JUL,893.4
1999 AUG,894.8
1999 SEP,892.6
1999 OCT,894.6
1999 NOV,897.0
1999 DEC,889.8
2000 JAN,888.2
2000 FEB,884.4
2000 MAR,899.0
2000 APR,893.3
2000 MAY,895.3
2000 JUN,896.0
2000 JUL,899.8
2000 AUG,896.0
2000 SEP,894.8
2000 OCT,896.7
2000 NOV,903.4
2000 DEC,908.0
2001 JAN,904.8
2001 FEB,900.5
2001 MAR,903.4
2001 APR,906.5
2001 MAY,906.4
2001 JUN,905.8
2001 JUL,906.4
2001 AUG,904.9
2001 SEP,904.2
2001 OCT,903.5
2001 NOV,903.5
2001 DEC,899.7
2002 JAN,900.1
2002 FEB,901.5
2002 MAR,903.9
2002 APR,908.3
2002 MAY,897.4
2002 JUN,898.9
2002 JUL,894.2
2002 AUG,903.9
2002 SEP,904.3
2002 OCT,906.4
2002 NOV,905.3
2002 DEC,903.5
2003 JAN,901.7
2003 FEB,904.6
2003 MAR,905.3
2003 APR,905.5
2003 MAY,907.2
2003 JUN,908.6
2003 JUL,908.1
2003 AUG,908.3
2003 SEP,907.4
2003 OCT,905.2
2003 NOV,903.9
2003 DEC,905.2
2004 JAN,909.1
2004 FEB,913.1
2004 MAR,911.5
2004 APR,911.4
2004 MAY,909.8
2004 JUN,907.9
2004 JUL,908.9
2004 AUG,911.9
2004 SEP,916.0
2004 OCT,919.3
2004 NOV,923.0
2004 DEC,924.2
2005 JAN,926.4
2005 FEB,923.8
2005 MAR,923.6
2005 APR,923.0
2005 MAY,922.9
2005 JUN,925.1
2005 JUL,924.8
2005 AUG,929.5
2005 SEP,928.3
2005 OCT,928.4
2005 NOV,929.3
2005 DEC,931.3
2006 JAN,932.1
2006 FEB,931.7
2006 MAR,932.0
2006 APR,931.1
2006 MAY,930.5
2006 JUN,931.8
2006 JUL,934.3
2006 AUG,931.8
2006 SEP,932.0
2006 OCT,932.6
2006 NOV,935.6
2006 DEC,938.2
2007 JAN,937.3
2007 FEB,937.1
2007 MAR,936.4
2007 APR,939.9
2007 MAY,941.2
2007 JUN,941.2
2007 JUL,943.0
2007 AUG,943.1
2007 SEP,944.9
2007 OCT,944.7
2007 NOV,943.1
2007 DEC,943.1
2008 JAN,946.2
2008 FEB,955.1
2008 MAR,950.9
2008 APR,951.2
2008 MAY,944.6
2008 JUN,950.1
2008 JUL,948.0
2008 AUG,945.2
2008 SEP,942.1
2008 OCT,941.0
2008 NOV,939.5
2008 DEC,936.8
2009 JAN,928.2
2009 FEB,923.5
2009 MAR,924.3
2009 APR,923.4
2009 MAY,920.1
2009 JUN,913.7
2009 JUL,910.7
2009 AUG,915.2
2009 SEP,919.3
2009 OCT,916.2
